Subject,2026-04,2026-04.1,2026-03,2026-03.1,2026-02,2026-02.1,2026-01,2026-01.1,2025-12,2025-12.1,2025-11,2025-11.1,2025-10,2025-10.1,2025-09,2025-09.1,2025-08,2025-08.1,2025-07,2025-07.1,2025-06,2025-06.1,2025-05,2025-05.1,2025-04,2025-04.1,2025-03,2025-03.1,2025-02,2025-02.1,2025-01,2025-01.1,2024-12,2024-12.1,2024-11,2024-11.1,2024-10,2024-10.1,2024-09,2024-09.1,2024-08,2024-08.1,2024-07,2024-07.1,2024-06,2024-06.1,2024-05,2024-05.1,2024-04,2024-04.1,2024-03,2024-03.1,2024-02,2024-02.1,2024-01,2024-01.1,2023-12,2023-12.1,2023-11,2023-11.1,2023-10,2023-10.1,2023-09,2023-09.1,2023-08,2023-08.1,2023-07,2023-07.1,2023-06,2023-06.1,2023-05,2023-05.1,2023-04,2023-04.1,2023-03,2023-03.1,2023-02,2023-02.1,2023-01,2023-01.1,2022-12,2022-12.1,2022-11,2022-11.1,2022-10,2022-10.1,2022-09,2022-09.1,2022-08,2022-08.1,2022-07,2022-07.1,2022-06,2022-06.1,2022-05,2022-05.1
Middle School Reading,15,7,64,26,32,18,72,19,49,32,35,28,59,44,73,43,88,39,54,10,57,11,65,20,41,26,41,31,53,43,115,104,69,63,55,48,77,70,78,70,57,47,37,23,41,28,53,38,37,35,53,47,59,51,54,42,35,27,61,42,74,70,37,34,26,17,15,11,29,25,9,6,18,15,26,23,25,24,13,12,12,8,17,17,31,29,37,34,22,20,41,27,44,32,35,27
Middle School English,14,7,71,28,36,17,73,14,46,26,27,22,37,30,54,34,72,39,45,14,56,11,57,18,29,18,43,32,56,46,138,125,85,76,62,56,90,84,100,90,74,58,50,30,57,40,67,51,39,35,52,47,58,53,54,46,39,27,72,50,83,75,44,40,35,22,20,15,31,24,13,7,20,17,24,21,26,25,13,13,12,8,20,20,36,34,40,36,26,24,47,32,49,34,40,29
Phonics,14,6,42,18,28,15,50,18,41,21,31,26,35,31,46,35,54,19,32,2,42,5,41,17,25,16,52,39,71,62,145,130,93,85,63,58,90,83,88,77,66,51,48,30,61,38,68,46,52,46,87,80,92,79,84,67,50,35,83,58,84,78,55,47,40,28,19,13,36,29,14,9,17,13,24,21,22,21,13,11,13,9,19,18,29,25,38,34,31,26,40,24,46,37,39,30
Algebra,13,7,56,29,21,12,26,13,48,29,44,41,81,79,100,86,73,47,57,21,69,26,72,29,60,47,70,58,73,67,120,110,79,74,61,53,84,79,124,110,65,52,47,36,36,28,58,48,39,35,58,46,64,58,69,56,38,29,57,49,70,64,43,38,44,32,26,19,52,38,21,15,20,17,31,29,34,30,19,17,24,23,27,24,37,36,38,38,45,41,48,31,52,32,57,43
Middle School Math,13,8,86,50,43,21,66,27,65,46,49,44,97,90,143,119,132,76,111,40,128,44,111,46,73,52,82,67,90,75,149,135,94,86,73,67,90,82,136,120,94,75,61,39,52,41,75,60,57,50,68,58,84,77,79,63,51,40,90,68,83,79,50,45,39,30,32,25,50,39,24,20,28,24,33,30,44,41,20,18,22,21,30,29,39,38,53,52,49,43,63,36,76,52,63,47
High School Biology,12,9,33,16,14,4,20,12,33,24,26,23,30,29,57,51,41,23,41,18,29,4,33,12,34,15,19,17,25,24,49,43,17,16,19,18,39,38,31,28,25,22,10,6,11,9,28,18,17,16,20,13,20,19,20,17,10,7,9,8,14,14,13,10,19,12,11,5,8,8,9,6,8,6,9,8,7,5,6,6,5,5,11,8,5,5,15,12,9,9,17,13,21,10,14,13
College English,10,5,31,12,21,11,12,1,20,12,17,13,24,20,21,13,16,11,13,2,18,3,28,8,13,11,24,16,23,21,61,55,44,39,21,17,35,32,40,38,27,20,23,14,39,24,28,21,12,9,13,13,22,20,24,20,15,13,19,10,21,19,18,14,18,13,12,11,14,12,7,2,9,8,11,9,14,14,8,7,7,7,9,8,11,11,10,8,6,6,16,11,19,12,16,13
Essay Editing,10,5,35,11,23,12,20,1,28,18,33,25,47,39,38,23,19,14,17,6,29,9,36,11,20,13,33,23,40,38,94,85,52,47,33,28,49,46,42,39,36,28,26,16,36,24,28,21,11,9,13,12,26,23,27,24,13,11,18,13,25,22,19,16,13,11,11,11,21,17,8,4,12,10,6,5,11,10,8,7,5,4,14,14,10,10,20,16,12,11,28,20,29,18,24,17
Pre-Algebra,10,6,47,29,21,10,31,17,36,25,23,22,47,44,57,50,58,38,47,21,65,26,74,33,55,43,67,55,64,59,111,101,83,80,56,50,88,82,120,109,62,51,48,35,38,29,62,51,33,28,49,39,60,57,72,59,36,28,50,45,62,59,40,34,38,29,30,22,45,34,20,16,19,17,33,30,37,33,21,19,22,21,26,24,37,36,40,40,43,39,52,33,63,40,50,36
AP Biology,8,6,14,9,6,1,9,3,26,19,20,19,20,19,41,37,26,16,29,13,26,9,27,10,22,12,20,19,17,16,27,22,10,10,11,10,26,25,21,20,14,11,6,6,3,3,18,14,12,12,14,8,11,11,14,12,8,6,5,5,12,12,9,8,11,10,5,1,8,7,7,6,6,4,5,5,5,4,3,3,3,2,3,2,3,3,4,3,4,2,6,5,12,6,5,5
AP English Language and Composition,8,3,23,11,20,11,11,1,19,12,15,10,24,20,28,20,16,9,12,1,18,4,18,7,11,7,13,10,14,14,27,25,22,21,11,11,15,13,20,20,16,13,6,5,14,8,20,15,7,5,4,3,14,13,14,12,13,11,4,3,10,9,6,4,8,6,4,4,5,5,5,1,5,5,3,3,6,6,3,3,3,3,3,3,5,5,7,7,4,4,6,4,13,7,6,3
Creative Writing,5,2,26,10,17,5,29,5,51,20,39,33,35,27,43,27,33,26,29,7,23,7,24,8,17,9,26,16,23,22,69,60,33,27,26,24,42,38,39,35,28,23,25,18,34,23,27,19,8,5,17,16,22,20,22,20,8,8,11,10,25,20,11,10,13,10,3,3,7,7,5,2,3,2,6,5,5,5,7,6,6,6,11,11,6,6,12,10,5,5,14,11,14,12,14,11
Elementary Social Studies,5,0,28,12,10,6,30,11,24,15,27,20,31,28,36,22,44,24,15,4,21,11,23,7,15,10,30,20,42,35,65,56,34,30,35,31,39,37,50,43,33,32,20,14,26,20,33,23,28,24,48,41,49,39,39,36,25,17,32,27,38,35,26,23,22,18,9,8,13,8,12,7,10,7,13,13,16,15,11,8,12,7,13,12,15,14,19,18,12,10,12,7,8,7,7,4
Microsoft Office,5,0,7,5,6,2,12,3,12,3,10,6,10,9,16,14,16,11,11,7,10,6,11,3,3,2,9,8,9,7,15,12,10,8,4,3,13,12,6,4,10,9,9,9,6,6,6,4,9,8,8,7,18,17,9,6,9,7,6,5,15,15,3,2,5,3,3,1,7,6,1,0,6,5,3,3,3,2,2,2,3,3,5,5,5,4,7,6,5,5,6,6,9,7,6,3
Psychology,5,1,14,3,5,1,10,3,12,6,10,8,17,17,19,16,13,9,8,2,22,6,10,4,6,4,7,5,10,9,24,20,15,15,7,7,14,14,13,12,10,9,4,2,5,4,9,8,2,2,10,8,6,4,15,14,4,3,3,2,7,7,7,6,9,4,6,4,2,2,4,1,3,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,4,3,9,8,7,4,3,2
Algebra 2,4,4,34,22,12,7,20,13,29,17,25,22,61,60,64,57,56,37,36,14,52,18,48,21,41,32,52,45,46,45,71,63,47,45,34,29,44,42,69,62,47,38,25,20,23,18,32,28,17,15,33,26,32,31,32,27,15,11,26,21,32,28,18,15,28,21,16,13,27,18,8,7,11,10,19,18,22,19,9,7,11,10,15,12,18,17,15,15,19,16,28,18,35,22,28,23
Anatomy & Physiology,4,3,15,6,8,2,11,5,16,8,12,9,14,13,23,19,19,11,14,4,17,3,8,3,14,9,10,8,16,16,24,21,6,5,8,8,10,10,12,11,13,11,9,8,8,5,14,10,7,3,9,6,9,9,6,4,4,3,5,5,9,8,4,3,7,6,7,5,7,7,5,4,5,3,2,2,5,4,4,4,3,2,3,3,7,7,5,4,5,3,8,7,11,6,7,7
College Biology,4,4,12,8,3,0,7,4,25,18,15,14,15,15,29,26,21,12,26,11,17,3,12,5,17,9,11,10,15,15,31,26,13,12,12,11,24,23,21,20,14,9,2,2,11,10,15,10,10,9,8,5,11,10,9,8,4,3,9,7,12,12,10,10,7,7,7,3,6,6,5,4,6,4,3,3,6,5,3,3,3,2,5,3,7,7,7,5,7,6,8,6,12,5,6,6
College Chemistry,4,2,11,5,4,2,4,4,8,6,8,7,13,13,28,26,15,9,15,8,18,9,13,7,14,8,10,9,12,11,20,16,13,12,9,7,15,15,23,21,11,7,7,7,11,9,8,6,6,6,7,4,8,8,8,6,7,6,3,3,12,12,12,11,10,10,6,5,7,6,2,2,4,4,2,2,2,2,3,3,4,3,1,1,6,6,4,3,6,5,9,4,12,6,5,3
ESL/ELL,4,1,15,4,8,1,4,1,13,7,21,16,22,18,24,17,20,7,13,5,16,3,24,6,17,12,20,13,35,29,61,51,27,26,24,19,35,31,38,34,27,22,28,18,36,25,22,15,17,15,18,15,19,16,9,9,7,4,13,7,12,11,10,9,13,9,10,6,12,11,6,3,12,8,11,10,10,10,9,9,9,6,5,5,8,8,17,14,20,17,31,20,26,21,19,15
High School Chemistry,4,2,15,9,6,2,8,5,15,12,16,14,22,21,40,38,23,13,27,14,32,14,30,15,26,15,21,18,21,19,35,30,18,17,12,11,30,29,28,27,19,13,12,12,15,11,21,16,11,10,14,10,11,11,16,14,11,11,9,8,17,17,16,16,18,15,11,5,14,12,3,2,5,5,8,7,4,4,7,6,5,4,5,4,7,7,11,10,7,6,14,9,24,16,15,13
Medical Terminology,4,1,9,1,1,0,7,0,8,2,1,1,3,3,1,1,3,2,2,1,1,0,2,1,4,3,4,3,7,7,14,12,5,5,4,4,10,9,9,7,7,5,4,3,2,1,6,5,5,3,3,2,8,8,6,5,1,1,4,2,,,5,4,1,1,5,5,5,5,3,3,1,1,,,3,2,1,1,2,1,5,4,5,4,4,4,3,3,5,5,2,2,4,3
Microsoft Excel,4,0,6,3,3,1,5,2,3,1,6,5,11,11,24,21,16,10,17,10,13,9,17,7,6,5,14,11,6,5,16,12,10,7,4,3,11,10,5,3,15,13,7,7,4,4,7,6,9,7,6,5,20,19,9,6,5,3,8,7,14,13,8,7,9,6,9,5,8,7,3,3,5,4,3,3,5,3,3,3,4,4,6,6,14,13,7,6,4,4,6,5,8,4,7,4
Middle School Social Studies,4,0,29,13,11,5,25,6,18,13,11,8,17,14,19,13,23,14,25,7,17,10,21,6,13,10,24,17,30,26,59,52,25,22,28,26,34,30,46,41,25,23,19,15,22,19,27,20,19,18,26,23,27,19,23,21,11,9,15,13,18,16,17,14,15,10,6,4,12,9,7,4,9,7,12,12,15,14,10,8,4,3,2,2,9,9,12,10,9,8,12,8,11,9,13,10
PSAT,4,3,18,13,7,7,5,3,1,1,7,7,6,6,21,20,23,20,22,15,41,22,25,17,11,11,21,19,18,17,32,27,29,29,12,11,12,11,28,27,20,18,10,9,19,17,17,14,12,10,11,10,18,17,18,16,7,5,13,12,12,12,6,5,18,16,11,8,12,11,4,4,5,4,10,10,7,7,3,3,1,1,5,5,3,3,3,3,7,6,9,7,8,6,9,6
ACCUPLACER,3,2,10,9,6,5,4,4,2,1,4,3,2,2,5,5,7,4,10,4,12,4,6,4,6,5,5,3,6,3,13,10,14,13,7,7,8,7,12,11,8,6,3,3,7,3,12,9,11,8,13,12,10,8,14,11,14,11,11,10,18,18,7,6,17,13,9,7,7,6,5,4,6,5,11,10,6,6,1,1,,,2,2,6,6,1,1,2,2,6,5,8,4,10,7
AP Chemistry,3,2,7,5,4,2,6,6,12,9,13,12,16,15,28,25,17,10,18,10,27,13,20,9,11,7,13,12,17,16,17,14,12,12,7,7,15,15,23,22,12,8,10,10,14,11,14,12,8,8,8,5,7,7,9,7,8,7,4,4,11,11,7,7,12,11,5,3,9,8,1,1,6,5,4,4,3,3,3,3,3,3,1,0,4,4,7,6,4,3,8,4,14,8,8,6
AP Pre-Calculus,3,1,9,7,3,2,5,4,5,3,8,8,16,16,29,29,40,32,30,17,33,22,22,15,26,24,27,25,22,22,27,24,16,16,8,8,13,13,23,22,9,8,8,7,6,5,9,9,2,1,2,1,6,6,6,5,4,3,4,4,12,12,3,2,7,6,9,7,3,3,3,3,1,1,6,5,5,4,2,2,4,4,1,0,3,3,1,1,10,9,2,2,7,6,6,6
Adult ESL/ELL,3,1,8,2,4,0,4,0,2,1,7,6,4,4,8,5,10,4,4,3,8,4,12,5,6,4,13,9,23,19,35,32,20,18,16,12,23,19,27,25,22,18,22,13,27,19,21,16,10,8,22,20,13,12,9,9,7,4,7,6,13,13,7,6,13,8,6,4,9,9,7,4,6,5,11,11,9,9,6,6,4,3,4,4,4,3,10,9,11,9,21,14,14,12,15,13
Calculus 1,3,1,21,12,7,5,9,6,25,14,29,28,47,46,62,54,50,31,35,17,46,22,42,22,35,30,33,28,33,32,59,54,34,31,27,26,40,38,46,43,23,19,25,22,15,12,15,14,11,10,16,12,20,19,23,22,10,7,12,11,28,25,14,12,16,12,14,10,18,14,11,10,9,8,16,14,17,14,8,7,9,9,13,11,16,16,18,18,20,18,23,12,33,20,32,25
College Application Essays,3,1,26,8,12,6,41,6,13,8,15,13,20,19,29,25,21,18,23,13,18,9,18,7,7,4,19,16,21,20,37,33,31,29,11,9,14,14,27,26,16,13,12,11,8,7,16,12,5,4,10,8,8,8,20,19,10,9,9,5,13,12,15,13,5,5,8,8,11,9,7,6,5,4,4,4,4,4,4,4,3,3,7,6,6,6,5,4,10,10,14,9,17,13,12,7
Drawing,3,1,11,1,3,3,11,3,8,2,4,3,5,3,11,8,9,5,9,2,6,2,10,4,3,3,5,5,7,7,11,9,5,4,4,4,8,6,6,5,7,5,6,6,4,3,4,3,3,2,7,7,3,2,7,7,,,3,3,3,2,6,3,1,1,,,1,1,,,4,3,1,1,,,,,1,1,3,3,4,4,1,1,3,2,2,0,2,0,3,3
Executive Functioning,3,1,9,4,8,4,11,3,9,3,7,5,8,6,14,10,8,5,11,4,7,3,7,2,4,4,9,6,11,9,20,18,10,10,12,12,20,18,19,16,10,9,8,6,10,7,8,3,8,7,10,8,8,6,14,14,4,4,5,5,7,7,13,12,5,2,4,4,8,8,8,5,5,4,7,6,7,5,7,7,4,2,8,8,6,5,16,15,7,6,11,9,8,7,8,6
HSPT,3,2,13,10,8,6,5,3,,,1,1,5,5,5,5,6,5,6,2,4,2,2,1,2,2,6,4,1,1,7,6,1,1,1,1,7,6,8,8,4,3,3,2,3,2,6,3,7,5,7,6,6,5,3,3,4,2,1,1,2,2,3,1,4,4,4,4,1,1,2,2,2,2,6,5,3,3,1,1,1,1,5,5,4,4,,,1,1,4,4,3,2,4,3
High School Science,3,0,3,0,4,1,9,3,19,10,18,16,16,14,45,37,28,16,37,17,20,8,23,8,16,10,19,17,20,19,42,37,32,28,25,24,57,55,55,51,31,27,16,14,25,20,33,28,18,16,21,17,26,26,21,19,11,9,26,24,24,24,19,17,27,21,17,13,15,13,8,6,13,13,10,9,12,10,11,11,7,7,9,7,14,14,12,12,11,9,18,14,21,13,20,15
Legal Writing,3,0,2,0,,,1,0,,,,,2,2,2,1,2,2,1,0,1,0,1,1,,,2,2,2,2,2,2,2,2,3,1,1,1,3,3,2,1,2,2,1,0,1,1,,,1,1,3,3,2,2,1,0,,,1,1,4,2,1,1,2,2,1,1,,,1,1,,,1,1,,,,,,,,,,,,,1,1,3,2,,
Middle School Reading Comprehension,3,1,22,4,5,4,32,5,21,12,17,14,16,12,31,20,44,23,21,3,17,3,23,10,18,13,27,18,35,30,85,77,52,49,41,36,56,51,52,46,44,37,28,18,27,18,36,26,22,20,27,24,41,35,29,26,18,13,52,36,60,56,18,17,17,13,12,8,24,21,6,5,15,13,22,19,18,17,11,11,11,7,16,16,26,24,33,30,22,20,33,22,40,29,33,25
Organic Chemistry,3,2,1,1,,,2,2,11,9,6,6,14,14,22,21,17,13,10,6,18,8,11,4,11,10,5,4,5,4,13,10,8,8,5,3,8,7,14,12,5,3,4,4,10,8,7,5,6,6,5,3,3,3,6,6,3,3,3,3,5,5,11,11,7,5,5,4,4,4,,,2,2,,,2,2,1,1,2,2,1,0,3,3,5,4,4,4,4,3,7,4,7,6
SAT,3,2,16,12,12,11,6,5,4,4,7,6,24,24,35,33,21,18,25,13,37,19,26,16,10,9,22,22,16,15,34,30,22,22,8,7,14,13,23,23,17,14,8,8,11,8,13,12,10,9,14,14,9,9,21,17,4,3,11,11,18,18,7,7,16,13,16,12,20,17,3,1,3,3,12,10,10,9,1,1,4,4,9,8,4,4,7,7,10,8,12,10,19,14,10,6
Sculpture,3,1,4,1,2,2,4,2,2,1,1,1,,,3,2,4,1,2,0,1,1,3,2,,,3,3,2,2,4,4,3,3,1,1,,,1,1,5,4,1,1,,,2,1,1,0,1,1,2,1,3,3,,,2,2,1,0,2,1,,,,,,,,,1,1,1,1,,,,,,,,,,,,,1,0,1,0,,,2,2
Trigonometry,3,2,17,11,9,6,14,9,23,15,21,19,32,32,36,32,29,15,26,11,26,12,18,7,18,13,33,28,29,29,47,43,24,22,20,19,30,30,43,41,23,18,23,18,21,17,17,14,9,8,15,11,10,9,17,14,7,5,8,8,18,16,10,9,10,7,12,9,12,10,3,3,9,8,13,12,14,12,7,7,5,5,9,9,13,13,10,10,16,13,19,12,25,15,15,12
ACCUPLACER College-Level Math,2,1,6,6,6,5,2,2,,,1,1,1,1,3,3,4,3,3,1,5,2,2,1,2,2,3,3,2,1,4,3,1,1,3,3,2,2,4,3,1,1,2,2,2,1,3,3,5,4,3,2,1,1,2,2,3,3,6,6,5,5,2,2,4,3,3,3,2,1,,,2,2,3,2,3,3,,,,,1,1,2,2,1,1,,,2,2,4,4,3,0
ACCUPLACER QAS,2,1,5,5,6,5,3,3,1,1,2,1,1,1,1,1,4,2,6,3,7,2,3,2,3,3,4,3,3,2,6,4,10,9,4,4,2,2,2,2,1,1,2,2,1,0,2,2,5,4,5,4,5,4,6,4,8,7,4,4,7,7,5,4,5,3,3,3,1,1,2,1,1,1,7,6,3,3,,,,,1,1,2,2,,,1,1,1,1,5,3,4,3
ACCUPLACER Writing,2,2,3,3,3,3,,,,,1,1,,,,,4,3,4,1,4,1,,,1,1,1,1,2,0,3,2,1,1,,,2,2,5,5,1,0,1,1,,,2,1,,,4,3,,,,,3,3,,,3,3,3,3,3,3,2,1,2,2,,,1,0,2,2,1,1,,,,,,,,,,,,,1,1,1,0,1,1
ACT,2,1,15,8,5,5,4,2,3,1,2,2,14,13,15,14,13,10,9,8,13,6,6,2,8,8,11,8,16,16,38,34,19,19,16,14,17,16,30,26,13,11,5,4,12,10,17,14,9,8,10,9,16,15,24,18,8,5,12,12,24,22,12,10,19,18,19,15,13,12,6,5,7,7,16,15,7,7,4,4,4,4,9,8,5,5,9,9,8,7,10,8,15,11,11,7
AP Psychology,2,1,5,1,2,1,4,0,8,6,5,5,9,9,14,12,9,6,3,1,9,4,6,2,1,1,5,5,8,7,12,10,4,3,1,1,9,9,8,8,3,2,2,2,4,4,6,5,,,4,2,2,1,7,7,5,4,2,2,7,7,1,0,3,3,3,3,3,2,2,2,,,3,3,1,1,,,1,0,,,2,2,1,1,3,2,5,5,3,1,3,3
AP Research,2,0,3,0,,,2,2,6,4,2,2,4,3,4,4,6,5,2,1,7,3,2,0,,,3,2,3,3,6,5,4,4,5,5,5,4,3,3,4,3,3,3,1,0,3,3,,,5,5,4,4,4,3,1,1,7,5,2,2,4,3,4,4,,,1,1,3,3,1,1,2,2,,,2,2,,,1,1,,,2,2,1,1,4,4,2,2,2,1
AP Statistics,2,1,7,4,1,0,4,3,6,2,5,5,16,16,13,13,13,9,9,5,13,9,9,4,4,4,15,12,18,18,23,20,13,13,9,8,18,18,23,23,10,7,11,8,4,4,7,6,2,2,6,4,7,7,8,7,3,2,4,4,3,3,6,6,6,3,6,6,6,6,4,4,3,3,5,4,5,5,2,2,6,4,4,4,5,5,7,7,4,4,16,10,7,3,6,6
AP U.S. Government & Politics,2,0,4,4,3,2,2,0,4,3,7,6,15,13,8,6,7,6,19,2,9,8,3,1,2,1,6,6,6,6,10,9,6,6,3,3,4,4,7,7,1,1,7,6,6,5,1,1,1,1,2,2,5,5,7,6,,,1,1,3,3,5,4,5,3,2,2,3,2,,,1,1,,,1,1,,,,,1,1,,,,,,,2,0,3,3,1,1
